,x
0,SS36131 0
1,SS36131 1
2,SS38592 0
3,SS38592 1
4,SS38592 2
5,SS38592 3
6,SS38592 4
7,SS38592 5
8,SS27485 0
9,SS27485 1
10,SS27485 2
11,SS27485 3
12,SS41822 0
13,SS41822 1
14,SS38624 0
15,SS38624 1
16,SS38624 2
17,SS38624 3
18,SS45605 0
19,SS43652 0
20,SS43652 1
21,SS43652 2
22,SS43652 3
23,SS43652 4
24,SS36112 0
25,SS36112 1
26,SS41806 0
27,SS41806 1
28,SS41806 2
29,SS41806 3
30,SS38631 0
31,SS38631 1
32,SS51029 0
33,SS51029 1
34,SS51029 2
35,SS51029 3
36,R85A11 0
37,R85A11 1
38,R85A11 2
39,R85A11 3
40,R85A11 4
41,R85A11 5
42,SS40489 0
43,SS40489 1
44,SS40489 2
45,SS40489 3
46,SS40489 4
47,SS31480 0
48,SS31480 1
49,SS31480 2
50,SS51021 0
51,SS51021 1
52,SS51017 0
53,SS51017 1
54,SS31456 0
55,SS31456 1
56,SS46233 0
57,SS46233 1
58,SS42749 0
59,SS42749 1
60,SS41815 0
61,SS41815 1
62,SS29633 0
63,SS29633 1
64,SS29633 2
65,R87H02 0
66,R87H02 1
67,MAN 0
68,MAN 1
69,SS49172 0
70,SS49172 1
71,SS49172 2
72,R36G04 0
73,R36G04 1
74,R39G01 0
75,R39G01 1
76,R39G01 2
77,SS31219 0
78,SS31219 1
79,SS31219 2
80,R30A08 0
81,R30A08 1
82,SS44270 0
83,SS44270 1
84,SS44270 2
85,SS41605 0
86,SS41605 1
87,SS41605 2
88,SS41605 3
89,SS29579 0
90,SS29579 1
91,SS29579 2
92,SS29579 3
93,SS29579 4
94,SS29579 5
95,SS51046 0
96,SS51046 1
97,SS29893 0
98,SS29893 1
99,SS29893 2
100,SS29893 3
101,SS34574 0
102,SS34574 1
103,R70H06 0
104,R70H06 1
105,R70H06 2
106,SS42740 0
107,SS42740 1
108,SS28596 0
109,SS28596 1
110,SS28596 2
111,SS28596 3
112,SS28596 4
113,SS28596 5
114,SS25469 0
115,SS25469 1
116,SS31232 0
117,SS31232 1
118,SS30303 0
119,SS30303 1
120,SS25451 0
121,SS25451 1
122,SS25451 2
123,SS25451 3
124,SS25451 4
125,SS25451 5
126,SS25451 6
127,SS40134 0
128,SS40134 1
129,SS29621 0
130,SS29621 1
131,R69H10 0
132,R69H10 1
133,R69H10 2
134,SS51038 0
135,SS51038 1
136,SS51038 2
137,SS51038 3
138,SS51038 4
139,SS42008 0
140,SS42008 1
141,SS42008 2
142,SS42008 3
143,SS36118 0
144,SS36118 1
145,SS36118 2
146,SS36118 3
147,SS36118 4
148,SS36118 5
149,SS40619 0
150,SS40619 1
151,SS45363 0
152,SS45363 1
153,SS45363 2
154,SS45363 3
155,SS52147 0
156,SS52147 1
