"","Genotype","ROI","Regressor","Decay.time"
"1","iav",0,"Angle.LF_leg.yaw",0.95
"2","iav",0,"Angle.LF_leg.pitch",0.25
"3","iav",0,"Angle.LF_leg.roll",0.25
"4","iav",0,"Angle.LF_leg.th_fe",0.95
"5","iav",0,"Angle.LF_leg.th_ti",0.95
"6","iav",0,"Angle.LF_leg.roll_tr",0.25
"7","iav",0,"Angle.LF_leg.th_ta",0.25
"8","iav",0,"Angle.LM_leg.yaw",0.95
"9","iav",0,"Angle.LM_leg.pitch",0.95
"10","iav",0,"Angle.LM_leg.roll",0.95
"11","iav",0,"Angle.LM_leg.th_fe",0.3
"12","iav",0,"Angle.LM_leg.th_ti",0.95
"13","iav",0,"Angle.LM_leg.roll_tr",0.25
"14","iav",0,"Angle.LM_leg.th_ta",0.95
"15","iav",0,"Angle.LH_leg.yaw",0.95
"16","iav",0,"Angle.LH_leg.pitch",0.25
"17","iav",0,"Angle.LH_leg.roll",0.25
"18","iav",0,"Angle.LH_leg.th_fe",0.25
"19","iav",0,"Angle.LH_leg.th_ti",0.25
"20","iav",0,"Angle.LH_leg.roll_tr",0.95
"21","iav",0,"Angle.LH_leg.th_ta",0.25
"22","iav",0,"Angle.RF_leg.yaw",0.25
"23","iav",0,"Angle.RF_leg.pitch",0.4
"24","iav",0,"Angle.RF_leg.roll",0.25
"25","iav",0,"Angle.RF_leg.th_fe",0.95
"26","iav",0,"Angle.RF_leg.th_ti",0.75
"27","iav",0,"Angle.RF_leg.roll_tr",0.25
"28","iav",0,"Angle.RF_leg.th_ta",0.25
"29","iav",0,"Angle.RM_leg.yaw",0.95
"30","iav",0,"Angle.RM_leg.pitch",0.25
"31","iav",0,"Angle.RM_leg.roll",0.95
"32","iav",0,"Angle.RM_leg.th_fe",0.25
"33","iav",0,"Angle.RM_leg.th_ti",0.95
"34","iav",0,"Angle.RM_leg.roll_tr",0.95
"35","iav",0,"Angle.RM_leg.th_ta",0.25
"36","iav",0,"Angle.RH_leg.yaw",0.95
"37","iav",0,"Angle.RH_leg.pitch",0.25
"38","iav",0,"Angle.RH_leg.roll",0.75
"39","iav",0,"Angle.RH_leg.th_fe",0.25
"40","iav",0,"Angle.RH_leg.th_ti",0.25
"41","iav",0,"Angle.RH_leg.roll_tr",0.95
"42","iav",0,"Angle.RH_leg.th_ta",0.25
"43","iav",1,"Angle.LF_leg.yaw",0.95
"44","iav",1,"Angle.LF_leg.pitch",0.25
"45","iav",1,"Angle.LF_leg.roll",0.95
"46","iav",1,"Angle.LF_leg.th_fe",0.55
"47","iav",1,"Angle.LF_leg.th_ti",0.25
"48","iav",1,"Angle.LF_leg.roll_tr",0.25
"49","iav",1,"Angle.LF_leg.th_ta",0.3
"50","iav",1,"Angle.LM_leg.yaw",0.95
"51","iav",1,"Angle.LM_leg.pitch",0.25
"52","iav",1,"Angle.LM_leg.roll",0.25
"53","iav",1,"Angle.LM_leg.th_fe",0.25
"54","iav",1,"Angle.LM_leg.th_ti",0.95
"55","iav",1,"Angle.LM_leg.roll_tr",0.25
"56","iav",1,"Angle.LM_leg.th_ta",0.25
"57","iav",1,"Angle.LH_leg.yaw",0.25
"58","iav",1,"Angle.LH_leg.pitch",0.25
"59","iav",1,"Angle.LH_leg.roll",0.25
"60","iav",1,"Angle.LH_leg.th_fe",0.3
"61","iav",1,"Angle.LH_leg.th_ti",0.35
"62","iav",1,"Angle.LH_leg.roll_tr",0.95
"63","iav",1,"Angle.LH_leg.th_ta",0.25
"64","iav",1,"Angle.RF_leg.yaw",0.95
"65","iav",1,"Angle.RF_leg.pitch",0.25
"66","iav",1,"Angle.RF_leg.roll",0.25
"67","iav",1,"Angle.RF_leg.th_fe",0.3
"68","iav",1,"Angle.RF_leg.th_ti",0.95
"69","iav",1,"Angle.RF_leg.roll_tr",0.25
"70","iav",1,"Angle.RF_leg.th_ta",0.25
"71","iav",1,"Angle.RM_leg.yaw",0.95
"72","iav",1,"Angle.RM_leg.pitch",0.95
"73","iav",1,"Angle.RM_leg.roll",0.95
"74","iav",1,"Angle.RM_leg.th_fe",0.3
"75","iav",1,"Angle.RM_leg.th_ti",0.45
"76","iav",1,"Angle.RM_leg.roll_tr",0.95
"77","iav",1,"Angle.RM_leg.th_ta",0.25
"78","iav",1,"Angle.RH_leg.yaw",0.95
"79","iav",1,"Angle.RH_leg.pitch",0.25
"80","iav",1,"Angle.RH_leg.roll",0.25
"81","iav",1,"Angle.RH_leg.th_fe",0.25
"82","iav",1,"Angle.RH_leg.th_ti",0.25
"83","iav",1,"Angle.RH_leg.roll_tr",0.3
"84","iav",1,"Angle.RH_leg.th_ta",0.25
"85","iav",2,"Angle.LF_leg.yaw",0.25
"86","iav",2,"Angle.LF_leg.pitch",0.25
"87","iav",2,"Angle.LF_leg.roll",0.25
"88","iav",2,"Angle.LF_leg.th_fe",0.25
"89","iav",2,"Angle.LF_leg.th_ti",0.95
"90","iav",2,"Angle.LF_leg.roll_tr",0.5
"91","iav",2,"Angle.LF_leg.th_ta",0.25
"92","iav",2,"Angle.LM_leg.yaw",0.25
"93","iav",2,"Angle.LM_leg.pitch",0.25
"94","iav",2,"Angle.LM_leg.roll",0.95
"95","iav",2,"Angle.LM_leg.th_fe",0.25
"96","iav",2,"Angle.LM_leg.th_ti",0.8
"97","iav",2,"Angle.LM_leg.roll_tr",0.95
"98","iav",2,"Angle.LM_leg.th_ta",0.25
"99","iav",2,"Angle.LH_leg.yaw",0.95
"100","iav",2,"Angle.LH_leg.pitch",0.25
"101","iav",2,"Angle.LH_leg.roll",0.25
"102","iav",2,"Angle.LH_leg.th_fe",0.65
"103","iav",2,"Angle.LH_leg.th_ti",0.85
"104","iav",2,"Angle.LH_leg.roll_tr",0.95
"105","iav",2,"Angle.LH_leg.th_ta",0.25
"106","iav",2,"Angle.RF_leg.yaw",0.95
"107","iav",2,"Angle.RF_leg.pitch",0.25
"108","iav",2,"Angle.RF_leg.roll",0.35
"109","iav",2,"Angle.RF_leg.th_fe",0.25
"110","iav",2,"Angle.RF_leg.th_ti",0.95
"111","iav",2,"Angle.RF_leg.roll_tr",0.25
"112","iav",2,"Angle.RF_leg.th_ta",0.25
"113","iav",2,"Angle.RM_leg.yaw",0.25
"114","iav",2,"Angle.RM_leg.pitch",0.3
"115","iav",2,"Angle.RM_leg.roll",0.45
"116","iav",2,"Angle.RM_leg.th_fe",0.25
"117","iav",2,"Angle.RM_leg.th_ti",0.25
"118","iav",2,"Angle.RM_leg.roll_tr",0.25
"119","iav",2,"Angle.RM_leg.th_ta",0.25
"120","iav",2,"Angle.RH_leg.yaw",0.95
"121","iav",2,"Angle.RH_leg.pitch",0.25
"122","iav",2,"Angle.RH_leg.roll",0.25
"123","iav",2,"Angle.RH_leg.th_fe",0.6
"124","iav",2,"Angle.RH_leg.th_ti",0.4
"125","iav",2,"Angle.RH_leg.roll_tr",0.25
"126","iav",2,"Angle.RH_leg.th_ta",0.25
"127","R30A08",0,"Angle.LF_leg.yaw",0.95
"128","R30A08",0,"Angle.LF_leg.pitch",0.25
"129","R30A08",0,"Angle.LF_leg.roll",0.25
"130","R30A08",0,"Angle.LF_leg.th_fe",0.3
"131","R30A08",0,"Angle.LF_leg.th_ti",0.95
"132","R30A08",0,"Angle.LF_leg.roll_tr",0.95
"133","R30A08",0,"Angle.LF_leg.th_ta",0.95
"134","R30A08",0,"Angle.LM_leg.yaw",0.95
"135","R30A08",0,"Angle.LM_leg.pitch",0.4
"136","R30A08",0,"Angle.LM_leg.roll",0.95
"137","R30A08",0,"Angle.LM_leg.th_fe",0.25
"138","R30A08",0,"Angle.LM_leg.th_ti",0.25
"139","R30A08",0,"Angle.LM_leg.roll_tr",0.95
"140","R30A08",0,"Angle.LM_leg.th_ta",0.95
"141","R30A08",0,"Angle.LH_leg.yaw",0.25
"142","R30A08",0,"Angle.LH_leg.pitch",0.95
"143","R30A08",0,"Angle.LH_leg.roll",0.4
"144","R30A08",0,"Angle.LH_leg.th_fe",0.6
"145","R30A08",0,"Angle.LH_leg.th_ti",0.95
"146","R30A08",0,"Angle.LH_leg.roll_tr",0.95
"147","R30A08",0,"Angle.LH_leg.th_ta",0.95
"148","R30A08",0,"Angle.RF_leg.yaw",0.95
"149","R30A08",0,"Angle.RF_leg.pitch",0.25
"150","R30A08",0,"Angle.RF_leg.roll",0.95
"151","R30A08",0,"Angle.RF_leg.th_fe",0.5
"152","R30A08",0,"Angle.RF_leg.th_ti",0.95
"153","R30A08",0,"Angle.RF_leg.roll_tr",0.95
"154","R30A08",0,"Angle.RF_leg.th_ta",0.65
"155","R30A08",0,"Angle.RM_leg.yaw",0.95
"156","R30A08",0,"Angle.RM_leg.pitch",0.25
"157","R30A08",0,"Angle.RM_leg.roll",0.6
"158","R30A08",0,"Angle.RM_leg.th_fe",0.95
"159","R30A08",0,"Angle.RM_leg.th_ti",0.95
"160","R30A08",0,"Angle.RM_leg.roll_tr",0.95
"161","R30A08",0,"Angle.RM_leg.th_ta",0.65
"162","R30A08",0,"Angle.RH_leg.yaw",0.25
"163","R30A08",0,"Angle.RH_leg.pitch",0.95
"164","R30A08",0,"Angle.RH_leg.roll",0.5
"165","R30A08",0,"Angle.RH_leg.th_fe",0.35
"166","R30A08",0,"Angle.RH_leg.th_ti",0.65
"167","R30A08",0,"Angle.RH_leg.roll_tr",0.85
"168","R30A08",0,"Angle.RH_leg.th_ta",0.95
"169","R30A08",1,"Angle.LF_leg.yaw",0.25
"170","R30A08",1,"Angle.LF_leg.pitch",0.95
"171","R30A08",1,"Angle.LF_leg.roll",0.95
"172","R30A08",1,"Angle.LF_leg.th_fe",0.25
"173","R30A08",1,"Angle.LF_leg.th_ti",0.95
"174","R30A08",1,"Angle.LF_leg.roll_tr",0.25
"175","R30A08",1,"Angle.LF_leg.th_ta",0.75
"176","R30A08",1,"Angle.LM_leg.yaw",0.95
"177","R30A08",1,"Angle.LM_leg.pitch",0.25
"178","R30A08",1,"Angle.LM_leg.roll",0.95
"179","R30A08",1,"Angle.LM_leg.th_fe",0.25
"180","R30A08",1,"Angle.LM_leg.th_ti",0.25
"181","R30A08",1,"Angle.LM_leg.roll_tr",0.95
"182","R30A08",1,"Angle.LM_leg.th_ta",0.85
"183","R30A08",1,"Angle.LH_leg.yaw",0.35
"184","R30A08",1,"Angle.LH_leg.pitch",0.95
"185","R30A08",1,"Angle.LH_leg.roll",0.45
"186","R30A08",1,"Angle.LH_leg.th_fe",0.25
"187","R30A08",1,"Angle.LH_leg.th_ti",0.95
"188","R30A08",1,"Angle.LH_leg.roll_tr",0.45
"189","R30A08",1,"Angle.LH_leg.th_ta",0.4
"190","R30A08",1,"Angle.RF_leg.yaw",0.95
"191","R30A08",1,"Angle.RF_leg.pitch",0.25
"192","R30A08",1,"Angle.RF_leg.roll",0.95
"193","R30A08",1,"Angle.RF_leg.th_fe",0.95
"194","R30A08",1,"Angle.RF_leg.th_ti",0.95
"195","R30A08",1,"Angle.RF_leg.roll_tr",0.95
"196","R30A08",1,"Angle.RF_leg.th_ta",0.95
"197","R30A08",1,"Angle.RM_leg.yaw",0.45
"198","R30A08",1,"Angle.RM_leg.pitch",0.25
"199","R30A08",1,"Angle.RM_leg.roll",0.25
"200","R30A08",1,"Angle.RM_leg.th_fe",0.25
"201","R30A08",1,"Angle.RM_leg.th_ti",0.95
"202","R30A08",1,"Angle.RM_leg.roll_tr",0.25
"203","R30A08",1,"Angle.RM_leg.th_ta",0.55
"204","R30A08",1,"Angle.RH_leg.yaw",0.25
"205","R30A08",1,"Angle.RH_leg.pitch",0.95
"206","R30A08",1,"Angle.RH_leg.roll",0.25
"207","R30A08",1,"Angle.RH_leg.th_fe",0.25
"208","R30A08",1,"Angle.RH_leg.th_ti",0.25
"209","R30A08",1,"Angle.RH_leg.roll_tr",0.25
"210","R30A08",1,"Angle.RH_leg.th_ta",0.85
"211","R73D10",0,"Angle.LF_leg.yaw",0.6
"212","R73D10",0,"Angle.LF_leg.pitch",0.95
"213","R73D10",0,"Angle.LF_leg.roll",0.8
"214","R73D10",0,"Angle.LF_leg.th_fe",0.4
"215","R73D10",0,"Angle.LF_leg.th_ti",0.5
"216","R73D10",0,"Angle.LF_leg.roll_tr",0.95
"217","R73D10",0,"Angle.LF_leg.th_ta",0.95
"218","R73D10",0,"Angle.LM_leg.yaw",0.95
"219","R73D10",0,"Angle.LM_leg.pitch",0.95
"220","R73D10",0,"Angle.LM_leg.roll",0.95
"221","R73D10",0,"Angle.LM_leg.th_fe",0.25
"222","R73D10",0,"Angle.LM_leg.th_ti",0.55
"223","R73D10",0,"Angle.LM_leg.roll_tr",0.95
"224","R73D10",0,"Angle.LM_leg.th_ta",0.95
"225","R73D10",0,"Angle.LH_leg.yaw",0.95
"226","R73D10",0,"Angle.LH_leg.pitch",0.25
"227","R73D10",0,"Angle.LH_leg.roll",0.95
"228","R73D10",0,"Angle.LH_leg.th_fe",0.9
"229","R73D10",0,"Angle.LH_leg.th_ti",0.65
"230","R73D10",0,"Angle.LH_leg.roll_tr",0.95
"231","R73D10",0,"Angle.LH_leg.th_ta",0.95
"232","R73D10",0,"Angle.RF_leg.yaw",0.95
"233","R73D10",0,"Angle.RF_leg.pitch",0.25
"234","R73D10",0,"Angle.RF_leg.roll",0.95
"235","R73D10",0,"Angle.RF_leg.th_fe",0.55
"236","R73D10",0,"Angle.RF_leg.th_ti",0.95
"237","R73D10",0,"Angle.RF_leg.roll_tr",0.95
"238","R73D10",0,"Angle.RF_leg.th_ta",0.95
"239","R73D10",0,"Angle.RM_leg.yaw",0.95
"240","R73D10",0,"Angle.RM_leg.pitch",0.95
"241","R73D10",0,"Angle.RM_leg.roll",0.95
"242","R73D10",0,"Angle.RM_leg.th_fe",0.25
"243","R73D10",0,"Angle.RM_leg.th_ti",0.6
"244","R73D10",0,"Angle.RM_leg.roll_tr",0.95
"245","R73D10",0,"Angle.RM_leg.th_ta",0.95
"246","R73D10",0,"Angle.RH_leg.yaw",0.95
"247","R73D10",0,"Angle.RH_leg.pitch",0.95
"248","R73D10",0,"Angle.RH_leg.roll",0.95
"249","R73D10",0,"Angle.RH_leg.th_fe",0.25
"250","R73D10",0,"Angle.RH_leg.th_ti",0.6
"251","R73D10",0,"Angle.RH_leg.roll_tr",0.95
"252","R73D10",0,"Angle.RH_leg.th_ta",0.75
"253","R73D10",1,"Angle.LF_leg.yaw",0.95
"254","R73D10",1,"Angle.LF_leg.pitch",0.95
"255","R73D10",1,"Angle.LF_leg.roll",0.95
"256","R73D10",1,"Angle.LF_leg.th_fe",0.45
"257","R73D10",1,"Angle.LF_leg.th_ti",0.95
"258","R73D10",1,"Angle.LF_leg.roll_tr",0.95
"259","R73D10",1,"Angle.LF_leg.th_ta",0.95
"260","R73D10",1,"Angle.LM_leg.yaw",0.95
"261","R73D10",1,"Angle.LM_leg.pitch",0.95
"262","R73D10",1,"Angle.LM_leg.roll",0.95
"263","R73D10",1,"Angle.LM_leg.th_fe",0.25
"264","R73D10",1,"Angle.LM_leg.th_ti",0.45
"265","R73D10",1,"Angle.LM_leg.roll_tr",0.95
"266","R73D10",1,"Angle.LM_leg.th_ta",0.4
"267","R73D10",1,"Angle.LH_leg.yaw",0.95
"268","R73D10",1,"Angle.LH_leg.pitch",0.7
"269","R73D10",1,"Angle.LH_leg.roll",0.95
"270","R73D10",1,"Angle.LH_leg.th_fe",0.85
"271","R73D10",1,"Angle.LH_leg.th_ti",0.75
"272","R73D10",1,"Angle.LH_leg.roll_tr",0.95
"273","R73D10",1,"Angle.LH_leg.th_ta",0.7
"274","R73D10",1,"Angle.RF_leg.yaw",0.95
"275","R73D10",1,"Angle.RF_leg.pitch",0.9
"276","R73D10",1,"Angle.RF_leg.roll",0.95
"277","R73D10",1,"Angle.RF_leg.th_fe",0.45
"278","R73D10",1,"Angle.RF_leg.th_ti",0.95
"279","R73D10",1,"Angle.RF_leg.roll_tr",0.95
"280","R73D10",1,"Angle.RF_leg.th_ta",0.95
"281","R73D10",1,"Angle.RM_leg.yaw",0.95
"282","R73D10",1,"Angle.RM_leg.pitch",0.95
"283","R73D10",1,"Angle.RM_leg.roll",0.95
"284","R73D10",1,"Angle.RM_leg.th_fe",0.25
"285","R73D10",1,"Angle.RM_leg.th_ti",0.5
"286","R73D10",1,"Angle.RM_leg.roll_tr",0.95
"287","R73D10",1,"Angle.RM_leg.th_ta",0.95
"288","R73D10",1,"Angle.RH_leg.yaw",0.95
"289","R73D10",1,"Angle.RH_leg.pitch",0.95
"290","R73D10",1,"Angle.RH_leg.roll",0.95
"291","R73D10",1,"Angle.RH_leg.th_fe",0.25
"292","R73D10",1,"Angle.RH_leg.th_ti",0.55
"293","R73D10",1,"Angle.RH_leg.roll_tr",0.95
"294","R73D10",1,"Angle.RH_leg.th_ta",0.75
